01	Color of cover	For Product Form Feature values see code list 98
02	Color of page edge	For Product Form Feature values see code list 98
03	Text font	The principal font used for body text, when this is a significant aspect of product description, eg for some Bibles. The accompanying Product Form Feature value is text specifying font size and, if desired, style.
04	Special cover material	For Product Form Feature values see code list 99
05	DVD region	For Product Form Feature values see code list 76
06	Operating system	A computer or handheld device operating system required to use a digital product, with version detail if applicable. The accompanying Product Form Feature Value is a code from List 178. Version detail, when applicable, is carried in Product Form Feature Description.
07	Other system requirements	Other system requirements for a digital product, described by free text in Product Form Feature Detail.
11	CPSIA choking hazard warning	DEPRECATED - use code 12 and List 143
12	CPSIA choking hazard warning	Choking hazard warning required by US Consumer Product Safety Improvement Act (CPSIA) of 2008. Required, when applicable, for products sold in the US. The Product Form Feature Value is a code from List 143. Further explanation may be given in Product Form Feature Description.
30	Not FSC or PEFC certified	Product does not carry FSC or PEFC logo. The product may, however, have a claimed Post-Consumer-Waste (PCW) content (type code 37). The Value and Description elements are not used.
31	FSC certified – pure	Product carries FSC logo (pure). <ProductFormFeatureValue> is the Chain Of Custody (COC) number printed on the book. Format: two to five letters-COC-six numerals, eg AB-COC-123456 or ABCDE-COC-123456. By definition, a product certified pure does not contain Post-Consumer-Waste (PCW), so type code 31 can only occur on its own.
32	FSC certified – mixed sources	Product carries FSC logo (mixed sources). <ProductFormFeatureValue> is the Chain Of Custody (COC) number printed on the book. Format: two to five letters-COC-six numerals, eg AB-COC-123456 or ABCDE-COC-123456. May be accompanied by a Post-Consumer-Waste (PCW) percentage value, to be reported in another instance of <ProductFormFeature> with type code 36.
33	FSC certified – recycled	Product carries FSC logo (recycled). <ProductFormFeatureValue> is the Chain Of Custody (COC) number printed on the book. Format: two to five letters-COC-six numerals, eg AB-COC-123456 or ABCDE-COC-123456. Should be accompanied by a Post-Consumer-Waste (PCW) percentage value, to be reported in another instance of <ProductFormFeature> with type code 36.
34	PEFC certified	Product carries PEFC logo (certified). <ProductFormFeatureValue> is the Chain Of Custody (COC) number printed on the book. May be accompanied by a Post-Consumer-Waste (PCW) percentage value, to be reported in another instance of <ProductFormFeature> with type code 36.
35	PEFC recycled	Product carries PEFC logo (recycled). <ProductFormFeatureValue> is the Chain Of Custody (COC) number printed on the book. Should be accompanied by a Post-Consumer-Waste (PCW) percentage value, to be reported in another instance of <ProductFormFeature> with type code 36.
36	FSC or PEFC certified Post Consumer Waste (PCW) percentage	The percentage of Post-Consumer-Waste (PCW) used in a product where the composition is certified by FSC or PEFC. <ProductFormFeatureValue> is an integer. May occur together with type code 32, 33, 34 or 35.
37	Claimed Post Consumer Waste (PCW) percentage	The percentage of Post-Consumer-Waste (PCW) claimed to be used in a product where the composition is not certified by FSC or PEFC. <Product FormFeatureValue> is an integer. <ProductFormFeatureDescription> may carry free text supporting the claim. Must be accompanied by type code 30.
