01	RRP excluding tax	RRP excluding any sales tax or value-added tax
02	RRP including tax	RRP including sales or value-added tax if applicable
03	Fixed retail price excluding tax	In countries where retail price maintenance applies by law to certain products: not used in USA
04	Fixed retail price including tax	In countries where retail price maintenance applies by law to certain products: not used in USA
05	Supplier’s net price excluding tax	Unit price charged by supplier to reseller excluding any sales tax or value-added tax: goods for retail sale
06	Supplier’s net price excluding tax: rental goods	Unit price charged by supplier to reseller / rental outlet, excluding any sales tax or value-added tax: goods for rental (used for video and DVD)
07	Supplier’s net price including tax	Unit price charged by supplier to reseller including any sales tax or value-added tax if applicable: goods for retail sale
08	Supplier’s alternative net price excluding tax	Unit price charged by supplier to a specified class of reseller excluding any sales tax or value-added tax: goods for retail sale (this value is for use only in countries, eg Finland, where trade practice requires two different net prices to be listed for different classes of resellers, and where national guidelines specify how the code should be used)
09	Supplier’s alternative net price including tax	Unit price charged by supplier to a specified class of reseller including any sales tax or value-added tax: goods for retail sale (this value is for use only in countries, eg Finland, where trade practice requires two different net prices to be listed for different classes of resellers, and where national guidelines specify how the code should be used)
11	Special sale RRP excluding tax	Special sale RRP excluding any sales tax or value-added tax
12	Special sale RRP including tax	Special sale RRP including sales or value-added tax if applicable
13	Special sale fixed retail price excluding tax	In countries where retail price maintenance applies by law to certain products: not used in USA
14	Special sale fixed retail price including tax	In countries where retail price maintenance applies by law to certain products: not used in USA
15	Supplier’s net price for special sale excluding tax	Unit price charged by supplier to reseller for special sale excluding any sales tax or value-added tax
21	Pre-publication RRP excluding tax	Pre-publication RRP excluding any sales tax or value-added tax
22	Pre-publication RRP including tax	Pre-publication RRP including sales or value-added tax if applicable
23	Pre-publication fixed retail price excluding tax	In countries where retail price maintenance applies by law to certain products: not used in USA
24	Pre-publication fixed retail price including tax	In countries where retail price maintenance applies by law to certain products: not used in USA
25	Supplier’s pre-publication net price excluding tax	Unit price charged by supplier to reseller pre-publication excluding any sales tax or value-added tax
31	Freight-pass-through RRP excluding tax	In the US, books are sometimes supplied on 'freight-pass-through' terms, where a price that is different from the RRP is used as the basis for calculating the supplier’s charge to a reseller. To make it clear when such terms are being invoked, code 31 is used instead of code 01 to indicate the RRP. Code 32 is used for the 'billing price'.
32	Freight-pass-through billing price excluding tax	When freight-pass-through terms apply, the price on which the supplier’s charge to a reseller is calculated, ie the price to which trade discount terms are applied. See also code 31.
