AW	Award	A Bible (or selected Biblical text) designed for presentation from a religious organization.
BB	Baby	A Bible (or selected Biblical text) designed to be a gift to commemorate a child’s birth.
BR	Bride	A special gift Bible (or selected Biblical text) designed for the bride on her wedding day. Usually white.
CF	Confirmation	A Bible (or selected Biblical text) designed to be used in the confirmation reading or as a gift to a confirmand
CH	Children’s	A text Bible (or selected Biblical text) designed in presentation and readability for a child.
CM	Compact	A small Bible (or selected Biblical text) with a trim height of five inches or less.
CR	Cross-reference	A Bible (or selected Biblical text) which includes text conveying cross-references to related scripture passages.
DR	Daily readings	A Bible (or selected Biblical text) laid out to provide readings for each day of the year.
DV	Devotional	A Bible (or selected Biblical text) containing devotional content together with the scripture.
FM	Family	A Bible (or selected Biblical text) containing family record pages and/or additional study material for family devotion
GT	General/Text	A standard Bible (or selected Biblical text) of any version with no distinguishing characteristics beyond the canonical text.
GF	Gift	A Bible (or selected Biblical text) designed for gift or presentation, often including a presentation page.
LP	Lectern/Pulpit	A large Bible (or selected Biblical text) with large print designed for use in reading scriptures in public worship from either the pulpit or lectern.
MN	Men’s	A Bible (or selected Biblical text) especially designed with helps and study guides oriented to the adult male.
PS	Primary school	A Bible (or selected Biblical text) designed for use in primary school
PW	Pew	Usually inexpensive but sturdy, a Bible (or selected Biblical text) designed for use in church pews.
SC	Scholarly	A Bible (or selected Biblical text) including texts in Greek and/or Hebrew and designed for scholarly study.
SL	Slimline	
ST	Student	A Bible (or selected Biblical text) with study articles and helps especially for use in the classroom.
SU	Study	A Bible (or selected Biblical text) with many extra features, e.g. book introductions, dictionary, concordance, references, maps, etc., to help readers better understand the scripture.
WG	Wedding gift	A special gift Bible (or selected Biblical text) designed as a gift to the couple on their wedding day
WM	Women’s	A devotional or study Bible (or selected Biblical text) with helps targeted at the adult woman.
YT	Youth	A Bible (or selected Biblical text) containing special study and devotional helps designed specifically for the needs of teenagers.
